Pais,Departamento,Municipio
Colombia,Caquetá,San José Del Fragua
Colombia,Caquetá,San Vicente Del Caguán
Colombia,Caquetá,Solano
Colombia,Caquetá,Solita
Colombia,Caquetá,Valparaíso
Colombia,Cauca,Popayán
Colombia,Cauca,Almaguer
Colombia,Cauca,Argelia
Colombia,Cauca,Balboa
Colombia,Cauca,Bolívar
Colombia,Cauca,Buenos Aires
Colombia,Cauca,Cajibío
Colombia,Cauca,Caldono
Colombia,Cauca,Caloto
Colombia,Cauca,Corinto
Colombia,Cauca,El Tambo
Colombia,Cauca,Florencia
Colombia,Cauca,Guachené
Colombia,Cauca,Guapí
Colombia,Cauca,Inzá
Colombia,Cauca,Jambaló
Colombia,Cauca,La Sierra
Colombia,Cauca,La Vega
Colombia,Cauca,López De Micay
Colombia,Cauca,Mercaderes
Colombia,Cauca,Miranda
Colombia,Cauca,Morales
Colombia,Cauca,Padilla
Colombia,Cauca,Páez
Colombia,Cauca,Patía
Colombia,Cauca,Piamonte
Colombia,Cauca,Piendamó - Tunía
Colombia,Cauca,Puerto Tejada
Colombia,Cauca,Puracé
Colombia,Cauca,Rosas
Colombia,Cauca,San Sebastián
Colombia,Cauca,Santander De Quilichao
Colombia,Cauca,Santa Rosa
Colombia,Cauca,Silvia
Colombia,Cauca,Sotara
Colombia,Cauca,Suárez
Colombia,Cauca,Sucre
Colombia,Cauca,Timbío
Colombia,Cauca,Timbiquí
Colombia,Cauca,Toribío
Colombia,Cauca,Totoró
Colombia,Cauca,Villa Rica
Colombia,Cesar,Valledupar
Colombia,Cesar,Aguachica
Colombia,Cesar,Agustín Codazzi
Colombia,Cesar,Astrea
Colombia,Cesar,Becerril
Colombia,Cesar,Bosconia
Colombia,Cesar,Chimichagua
Colombia,Cesar,Chiriguaná
Colombia,Cesar,Curumaní
Colombia,Cesar,El Copey
Colombia,Cesar,El Paso
Colombia,Cesar,Gamarra
Colombia,Cesar,González
Colombia,Cesar,La Gloria
Colombia,Cesar,La Jagua De Ibirico
Colombia,Cesar,Manaure Balcón Del Cesar
Colombia,Cesar,Pailitas
Colombia,Cesar,Pelaya
Colombia,Cesar,Pueblo Bello
Colombia,Cesar,Río De Oro
Colombia,Cesar,La Paz
Colombia,Cesar,San Alberto
Colombia,Cesar,San Diego
Colombia,Cesar,San Martín
Colombia,Cesar,Tamalameque
Colombia,Córdoba,Montería
Colombia,Córdoba,Ayapel
Colombia,Córdoba,Buenavista
Colombia,Córdoba,Canalete
Colombia,Córdoba,Cereté
Colombia,Córdoba,Chimá
Colombia,Córdoba,Chinú
Colombia,Córdoba,Ciénaga De Oro
Colombia,Córdoba,Cotorra
Colombia,Córdoba,La Apartada
Colombia,Córdoba,Lorica
Colombia,Córdoba,Los Córdobas
Colombia,Córdoba,Momil
Colombia,Córdoba,Montelíbano
Colombia,Córdoba,Moñitos
Colombia,Córdoba,Planeta Rica
Colombia,Córdoba,Pueblo Nuevo
Colombia,Córdoba,Puerto Escondido
Colombia,Córdoba,Puerto Libertador
